year	round	plotid	plant	VWC.plant	VWC.sm	photosynthesis	conductance	WUE	flowered	survived	RGR
2019	2019-08-08	1D	16	3.6	3.3	13.9285	0.27227	51.174	0	1	0.7693751379470575
2019	2019-08-08	2A	95	4.3	3.92	15.2131	0.62564	24.443	0	1	-0.016778522391267186
2019	2019-08-08	2B	137	2.4	3.3	12.327	0.08239	149.575	0	1	
2019	2019-08-08	2C	296	1.9	3.2199999999999998	20.8571	0.40073	52.711	0	1	-1.5310768818411524
2019	2019-08-08	2D	220	18.3	5.52	17.845	0.56162	31.642	1	1	
2019	2019-08-08	3A	273	4.8	3.14	11.0452	0.299	36.881	1	1	
2019	2019-08-08	3B	838	1.9	3.1999999999999997	16.4918	0.5599	29.443	1	1	
2019	2019-08-08	3C	174	8.2	5.3	9.6236	0.50791	19.06	1	1	
2019	2019-08-08	3D	851	3.9	3.1	28.1374	0.86604	32.821	1	1	
2019	2019-08-08	4A	115	4.1	4.3	31.9524	0.76086	41.995	1	1	
2019	2019-08-08	4B	190	4.1	2.6	10.2341	0.40821	25.094	0	1	-0.5082579546538272
2019	2019-08-08	4C	195	5.2	3.96	7.4437	0.32843	22.684	1	1	
2019	2019-08-08	4D	37	3.1	1.98	16.35955	0.20986	101.697	1	1	
2019	2019-08-08	5A	191	15.7	5.58	35.5622	0.83874	42.399	1	1	
2019	2019-08-08	5B	289	5.9	3.8000000000000003	20.52	0.21819	94.431	1	1	
2019	2019-08-08	5D	244	2.8	1.92	36.451	0.91441	36.816	0	1	
2019	2019-08-08	6A	168	4.1	3.68	2.6887	0.12758	21.074	0	1	2.514467787275182
2019	2019-08-08	6B	9	3.1	1.8	25.4268	0.2981	86.999	0	1	-0.9990114731260421
2019	2019-08-08	6C	96	3.5	3.12	14.9084	0.5631	26.477	1	1	-0.8523762107598118
2019	2019-08-08	6D	45	6.4	4.4	15.6204	0.61469	25.556	1	1	
2019	2019-08-09	1A	243	9.1	5.5	16.8678	0.32198	52.387	1	1	
2019	2019-08-09	1B	658	9.4		48.3808	0.65578	73.769	1	1	
2019	2019-08-09	1C	75	11		81.2902		72.114	0	0	
2019	2019-08-09	1D	25	7	3.3	40.154	0.63479	63.255	0	0	
2019	2019-08-09	2A	176	10.4	3.92	33.6793	0.8579	39.257	0	1	
2019	2019-08-09	2B	189	7.4	3.3	45.8504	0.67457	67.97	1	1	
2019	2019-08-09	2C	271	5.2	3.2199999999999998	27.2569		21.813	1	1	
2019	2019-08-09	2D	194	12.5	5.52	24.097	0.42756	56.35	1	1	
2019	2019-08-09	3A	657	9.1	3.14	29.7081	0.53899	55.109	1	1	
2019	2019-08-09	3B	624	8.9	3.1999999999999997	12.4345	0.60421	20.442	0	0	
2019	2019-08-09	3C	129	13.3	5.3	92.9856		52.72	0	0	
2019	2019-08-09	3D	891	10.7	3.1	39.3031	0.86522	45.47	0	1	-0.2552796407656398
2019	2019-08-09	4A	116	8	4.3	1.5873	0.30511	5.192	1	1	
2019	2019-08-09	4B	214	3.7	2.6	38.7324	0.39714	97.528	0	1	0.0959243069891152
2019	2019-08-09	4C	30	4.7	3.96	25.8974	0.65609	40.222	0	0	
2019	2019-08-09	4D	28	3.1	1.98	17.9199	0.12555	142.69	0	1	-1.2325140876388774
2019	2019-08-09	5A	196	15.6	5.58	4.294	0.04528	94.769	1	1	
2019	2019-08-09	5B	7	4.1	3.8000000000000003	34.2516	0.84024	41.412	0	1	
2019	2019-08-09	5C	207	2.9	1.7	4.0073	0.119	33.628	1	1	
2019	2019-08-09	5D	281	5	1.92	10.4628	0.17101	61.187	0	1	-0.13800733392203696
2019	2019-08-09	6A	165	6.5	3.68	30.5157	0.42092	72.509	1	1	
2019	2019-08-09	6B	31	4.2	1.8	77.7857	0.66749	116.531	0	0	
2019	2019-08-09	6C	86	2.6	3.12	2.4546	0.03146	77.793	1	1	
2019	2019-08-09	6D	64	12.6	4.4	20.0057	0.66318	30.166	1	1	
2019	2019-08-12	1A	222		5.5	44.5513	0.27205	163.86	0	0	
2019	2019-08-12	1B	662	7.5		30.4781	0.38883	78.356	0	1	
2019	2019-08-12	1C	60	3.7		16.8459	0.42242	39.951	1	1	
2019	2019-08-12	1D	9	9.5	3.3	11.9578	0.26125	45.785	1	1	
2019	2019-08-12	2A	164	6.5	3.92	17.2109	0.34446	49.965	0	0	
2019	2019-08-12	2B	85	4.5	3.3	37.7484	0.45229	83.475	1	1	
2019	2019-08-12	2C	299	6.4	3.2199999999999998	3.9556	0.02029	194.765	0	0	
2019	2019-08-12	2D	219	15.2	5.52	12.2121	0.22567	54.14	1	1	
2019	2019-08-12	3B	621	10.4	3.1999999999999997	51.0227	0.90069	56.707	1	1	
2019	2019-08-12	3C	126	18.7	5.3	18.5304	0.54186	34.238	1	1	
2019	2019-08-12	3D	888	7.4	3.1	5.7275	0.07486	76.579	0	1	
